month,bucket,bucket_type,tx_count
2011-09-01,$0.0015-$0.002,usd,10
2011-09-01,$0.002-$0.003,usd,5
2011-09-01,$0.0045-$0.007,usd,2
2011-10-01,0,sats,103905
2011-10-01,0-2,sats,310
2011-10-01,100-130,sats,6099
2011-10-01,12-18,sats,100
2011-10-01,130-170,sats,500
2011-10-01,170-220,sats,36084
2011-10-01,18-24,sats,105
2011-10-01,2-4,sats,213
2011-10-01,220-350,sats,1480
2011-10-01,24-30,sats,83
2011-10-01,30-40,sats,169
2011-10-01,350-600,sats,1544
2011-10-01,4-6,sats,35
2011-10-01,40-50,sats,77
2011-10-01,50-60,sats,1828
2011-10-01,6-9,sats,35
2011-10-01,60-80,sats,2709
2011-10-01,600+,sats,6324
2011-10-01,80-100,sats,3309
2011-10-01,9-12,sats,49
2011-10-01,$0,usd,103905
2011-10-01,$0-$0.00005,usd,55830
2011-10-01,$0.00005-$0.00008,usd,1156
2011-10-01,$0.00008-$0.0001,usd,792
2011-10-01,$0.0001-$0.00015,usd,1199
2011-10-01,$0.00015-$0.0002,usd,1574
2011-10-01,$0.0002-$0.00025,usd,213
2011-10-01,$0.00025-$0.0003,usd,22
2011-10-01,$0.0003-$0.0004,usd,42
2011-10-01,$0.0004-$0.0005,usd,56
2011-10-01,$0.0005-$0.00065,usd,115
2011-10-01,$0.00065-$0.0009,usd,12
2011-10-01,$0.0009-$0.001,usd,8
2011-10-01,$0.001-$0.0015,usd,11
2011-10-01,$0.0015-$0.002,usd,12
2011-10-01,$0.002-$0.003,usd,3
2011-10-01,$0.003-$0.0045,usd,2
2011-10-01,$0.0045-$0.007,usd,5
2011-10-01,$0.007-$0.01,usd,1
2011-11-01,0,sats,115575
2011-11-01,0-2,sats,314
2011-11-01,100-130,sats,5382
2011-11-01,12-18,sats,91
2011-11-01,130-170,sats,436
2011-11-01,170-220,sats,29503
2011-11-01,18-24,sats,91
2011-11-01,2-4,sats,241
2011-11-01,220-350,sats,1078
2011-11-01,24-30,sats,98
2011-11-01,30-40,sats,154
2011-11-01,350-600,sats,1120
2011-11-01,4-6,sats,16
2011-11-01,40-50,sats,73
2011-11-01,50-60,sats,1465
2011-11-01,6-9,sats,30
2011-11-01,60-80,sats,2120
