date,total_fees,channel_open_fees,channel_close_fees,lightning_fees,lightning_pct
2018-10-04,18.70916379,0.00053385,0,0.00053385,0.000028534
2018-10-05,21.33672301,0.00021471,0,0.00021471,0.000010063
2018-10-06,17.57876392,0.00056508,0,0.00056508,0.000032146
2018-10-07,13.06671747,0.00029526,0,0.00029526,0.000022596
2018-10-08,16.79599849,0.00019784,0,0.00019784,0.000011779
2018-10-09,16.66631934,0.00077433,0,0.00077433,0.000046461
2018-10-10,15.6339373,0.00016393,0,0.00016393,0.000010486
2018-10-11,18.4172056,0.00024415,0,0.00024415,0.000013257
2018-10-12,18.44585713,0.00047997,0,0.00047997,0.00002602
2018-10-13,13.28476496,0.00018634,0,0.00018634,0.000014027
2018-10-14,12.41784997,0.00014594,0,0.00014594,0.000011752
2018-10-15,23.09602031,0.0003946,0,0.0003946,0.000017085
2018-10-16,19.31942675,0.00069069,0,0.00069069,0.000035751
2018-10-17,18.8500803,0.00027163,0,0.00027163,0.00001441
2018-10-18,18.05926167,0.00010592,0,0.00010592,0.000005865
2018-10-19,17.65876226,0.00031766,0,0.00031766,0.000017989
2018-10-20,14.32509812,0.00033827,0,0.00033827,0.000023614
2018-10-21,12.46404029,0.00005265,0,0.00005265,0.000004224
2018-10-22,16.6995118,0.00021108,0,0.00021108,0.00001264
2018-10-23,16.58331992,0.00030925,0,0.00030925,0.000018648
2018-10-24,16.94168952,0.00027754,0,0.00027754,0.000016382
2018-10-25,17.53993992,0.0004004,0,0.0004004,0.000022828
2018-10-26,17.91509911,0.0002202,0,0.0002202,0.000012291
2018-10-27,13.09651959,0.00028956,0,0.00028956,0.00002211
