metric_date,herfindahl_index,prev_herfindahl_index,mean_change,mean_pct_change
2011-06-02,0.66939396409510987,0.668754051257783,-0.0036062908401510753,-0.0044989577926598393
2011-06-01,0.66789599185076631,0.66780407151409837,-0.0039789355398292666,-0.0044049726113075
2011-05-31,0.66686759775186855,0.667569341977694,-0.0048060883207717833,-0.0061795793271304444
2011-05-30,0.66718671320462219,0.66723739175226526,-0.0039077519021448615,-0.0041985804795030869
2011-05-29,0.66715645969632664,0.6668880911973285,-0.0042453279177903308,-0.0044665991507407427
2011-05-28,0.66702457409024807,0.6658454687417551,-0.002838380437518627,-0.0030064124292321268
2011-05-27,0.66472451005639488,0.66359874233395366,-0.0032501775395282167,-0.0033873256242687457
2011-05-26,0.66238444970666321,0.65976759115504258,-0.0040092759206795756,-0.0043190016538325266
2011-05-25,0.65988446771840414,0.65626551432098534,-0.0027641307306843438,-0.0029826792085083449
2011-05-24,0.65564773244789532,0.65144148242488464,-0.0030455370304238332,-0.003221613838068686
2011-05-23,0.651493370025722,0.647417020459797,-0.00336413502340563,-0.0037770829244239876
2011-05-22,0.64679608537708866,0.64403549862912624,-0.0038430202331086157,-0.0039713841209535871
2011-05-21,0.6432960137073912,0.64034976972510682,-0.0031965034672254019,-0.00346662148077474
2011-05-20,0.63969428155328434,0.63758585858137762,-0.0037848056778756875,-0.0042420132017392106
2011-05-19,0.63692010345279237,0.64185297756845039,-0.0098070699907407046,-0.010025379915063219
2011-05-18,0.640658686843196,0.640058387504037,-0.0048184406082391338,-0.00571204231723335
2011-05-17,0.64190094950002508,0.6416576446515706,-0.0058525817342448515,-0.0066483216171879887
2011-05-16,0.64427123639133754,0.64370655482480477,-0.0056517768738833379,-0.0064735772014518295
2011-05-15,0.64585029760942458,0.64637731131124032,-0.0058760986776122889,-0.0062983940657364776
2011-05-14,0.648365316719826,0.64832299700111173,-0.0054970911272541525,-0.0058753064671590556
2011-05-13,0.65021302943219306,0.64992879921886937,-0.005256530804846846,-0.0057396730534278973
2011-05-12,0.6525186459754222,0.65434159427976568,-0.0069059758429171223,-0.00757064932343942
2011-05-11,0.65662136525869552,0.65591410345254553,-0.004730824476159896,-0.005175770120342281
2011-05-10,0.65782199378187234,0.65990902608475133,-0.0070321112988021425,-0.0077367703418130774
2011-05-09,0.66122780613177912,0.66154104775829681,-0.0069776242261427486,-0.007851380283865745
2011-05-08,0.66276064923213573,0.66633450630264957,-0.010415560677970441,-0.010995151967532745
2011-05-07,0.66810924341744893,0.66959861952248234,-0.0078696547339063144,-0.008041649200530878
2011-05-06,0.67147971335046763,0.67287334800132736,-0.0071381627490133461,-0.00796026103373126
2011-05-05,0.67446758253533878,0.67491170123806543,-0.0062616720477396562,-0.0065372819219644924
2011-05-04,0.67696662454294509,0.6795927809916924,-0.0077207644404433014,-0.0083718158635751379
2011-05-03,0.68164842962534578,0.68381267865238049,-0.0069734760881428543,-0.0073851750414187876
2011-05-02,0.68709519466076463,0.68729110643567637,-0.0053727608065306824,-0.0062339541695193984
2011-05-01,0.69400945576528217,0.70398846442242236,-0.014801930673181167,-0.015163463710333485
2011-04-30,0.71057636154458381,0.71225651286699421,-0.0058667583420098863,-0.00661669540712179
2011-04-29,0.71675588016807823,0.72360687452377159,-0.010397725825694816,-0.011217797846611878
2011-04-28,0.72561823473649689,0.73004118723177958,-0.0085929303199427133,-0.0097205862195426616
2011-04-27,0.73196383366437634,0.736151756064415,-0.00845957888718098,-0.0092619041810866054
2011-04-26,0.73773532174360479,0.74038380022765593,-0.0065599877409491733,-0.0075099641777702135
2011-04-25,0.74192549946228747,0.74621049342372159,-0.0074148556289644644,-0.0078699842477045635
2011-04-24,0.7503318392353403,0.751913272983697,-0.0050877177939082762,-0.00546339048908074
2011-04-23,0.75481473086775008,0.75864777215977031,-0.0075717970646639113,-0.0078415486949303687
2011-04-22,0.76103570806418586,0.76254550595804627,-0.0053109970388604717,-0.0056915439871097137
2011-04-21,0.76391936765986779,0.76645876816373992,-0.0062274685861032674,-0.006507346371950027
2011-04-20,0.7677974701452891,0.77041691000669876,-0.005862176437659166,-0.0064527198249205676
2011-04-19,0.77263282773288677,0.7750330913518525,-0.0055223727674870464,-0.0063537851738990183
2011-04-18,0.77713725696773961,0.78076710938227423,-0.00662704210148601,-0.0072091844391780685
2011-04-17,0.78312365719436827,0.78801616512320527,-0.0079632687040747489,-0.0082111081146846229
2011-04-16,0.7894564689805601,0.79119840749553583,-0.0045602247154616013,-0.0047270157008021787
2011-04-15,0.79285965187184526,0.79464024657585119,-0.0043661117965365188,-0.0047989827670906343
2011-04-14,0.795660270087181,0.79860613853191142,-0.005976324576103224,-0.0065583549200865761
2011-04-13,0.79976200948244613,0.8009659592807743,-0.0045056478499178616,-0.0047414648330757446
2011-04-12,0.80216306356436706,0.80604307676617493,-0.006754784842873833,-0.0078712050277725647
2011-04-11,0.80738391584568792,0.810364049905252,-0.0059090051571656366,-0.0068535797822220426
2011-04-10,0.81159810433019453,0.81326179540613353,-0.0045415669253930013,-0.004906963817298997
2011-04-09,0.81514201125571928,0.82024771352320258,-0.0072005355167146746,-0.0076780082915675488
2011-04-08,0.82090760466619117,0.82654379497047559,-0.0079933203321119351,-0.0085990713335900391
2011-04-07,0.82822668404735644,0.83045875218030174,-0.0047201084014473075,-0.005067091955664702
2011-04-06,0.83099291245798879,0.83360346526838092,-0.0047070216265949066,-0.0050118712074817186
